short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id,primary_position,position_group,age_bucket,growth_potential,value_million,value_for_money,hidden_gem_flag
E. Haaland,23,Manchester City,Norway,91,94,185000000,340000,ST,89,93,66,80,45,88,Left,100001,ST,Attacker,21-25,3,185.0,0.49,Regular Target
K. Mbappé,25,Real Madrid,France,91,94,180000000,350000,"ST, LW",97,90,80,92,36,78,Right,100002,ST,Attacker,21-25,3,180.0,0.51,Regular Target
J. Bellingham,20,Real Madrid,England,86,91,120000000,210000,"CAM, CM",79,82,82,85,78,82,Right,100003,CAM,Midfielder,U21,5,120.0,0.72,Regular Target
Vini Jr.,23,Real Madrid,Brazil,89,93,158000000,290000,LW,95,82,78,90,29,68,Right,100004,LW,Attacker,21-25,4,158.0,0.56,Regular Target
F. Wirtz,21,Bayer 04 Leverkusen,Germany,85,92,95000000,120000,"CAM, CM",81,79,85,88,52,62,Right,100005,CAM,Midfielder,U21,7,95.0,0.89,Regular Target
J. Musiala,21,Bayern München,Germany,86,93,110000000,130000,"CAM, LM",85,76,79,91,64,64,Right,100006,CAM,Midfielder,U21,7,110.0,0.78,Regular Target
L. Yamal,16,FC Barcelona,Spain,78,91,35000000,25000,RW,86,73,77,83,32,50,Left,100007,RW,Attacker,U21,13,35.0,2.23,Hidden Gem
Pedri,21,FC Barcelona,Spain,86,92,105000000,160000,CM,78,68,84,88,68,65,Right,100008,CM,Midfielder,U21,6,105.0,0.82,Regular Target
C. Palmer,22,Aston Villa,England,83,89,65000000,90000,"RW, CAM",77,80,83,84,48,63,Left,100009,RW,Attacker,21-25,6,65.0,1.28,Regular Target
K. De Bruyne,32,Manchester City,Belgium,91,91,90000000,380000,"CM, CAM",72,88,94,87,65,78,Right,100010,CM,Midfielder,30+,0,90.0,1.01,Regular Target
V. van Dijk,32,Liverpool,Netherlands,89,89,45000000,220000,CB,78,60,71,72,89,86,Right,100011,CB,Defender,30+,0,45.0,1.98,Regular Target
T. Courtois,31,Real Madrid,Belgium,90,90,60000000,250000,GK,85,89,76,93,46,88,Left,100012,GK,Goalkeeper,30+,0,60.0,1.5,Regular Target
E. Camavinga,21,Real Madrid,France,82,89,60000000,110000,"CDM, LB",80,66,80,83,79,81,Left,100013,CDM,Midfielder,U21,7,60.0,1.37,Regular Target
Gavi,19,FC Barcelona,Spain,83,90,70000000,75000,CM,76,66,79,84,74,78,Right,100014,CM,Midfielder,U21,7,70.0,1.19,Regular Target
Endrick,17,Real Madrid,Brazil,75,89,24000000,20000,ST,88,76,62,79,31,75,Left,100015,ST,Attacker,U21,14,24.0,3.12,Hidden Gem
Evan Ferguson,19,Brighton & Hove Albion,Ireland,74,86,18000000,30000,ST,75,76,60,72,30,78,Right,100016,ST,Attacker,U21,12,18.0,4.11,Hidden Gem
A. Güler,19,Real Madrid,Turkey,77,88,23000000,45000,"CAM, RW",74,73,81,82,42,52,Left,100017,CAM,Midfielder,U21,11,23.0,3.35,Hidden Gem
J. Hato,18,Ajax,Netherlands,73,87,12000000,15000,"CB, LB",79,40,68,70,75,74,Left,100018,CB,Defender,U21,14,12.0,6.08,Hidden Gem
João Neves,19,Benfica,Portugal,77,87,22000000,25000,"CDM, CM",73,62,76,79,76,75,Right,100019,CDM,Midfielder,U21,10,22.0,3.5,Hidden Gem
K. Mainoo,19,Manchester City,England,76,87,19000000,35000,"CM, CDM",74,65,76,81,72,70,Right,100020,CM,Midfielder,U21,11,19.0,4.0,Hidden Gem
S. Dubois,20,Borussia Dortmund,Brazil,74,87,15330000,30000,GK,75,73,77,70,45,85,Right,100021,GK,Goalkeeper,U21,13,15.33,4.83,Hidden Gem
M. Silva,22,FC Barcelona,Portugal,75,79,12740000,24000,GK,56,78,66,89,40,66,Right,100022,GK,Goalkeeper,21-25,4,12.74,5.89,Regular Target
A. Smith,18,Borussia Dortmund,Nigeria,66,72,9080000,20000,GK,76,79,71,86,44,80,Right,100023,GK,Goalkeeper,U21,6,9.08,7.27,Regular Target
K. Conti,19,Liverpool,Brazil,75,83,14140000,26000,GK,57,61,75,68,41,82,Right,100024,GK,Goalkeeper,U21,8,14.14,5.3,Hidden Gem
N. Van Dijk,29,Bayern München,Uruguay,83,84,17020000,32000,CDM,70,83,88,67,69,72,Right,100025,CDM,Midfielder,26-30,1,17.02,4.88,Regular Target
H. Taylor,23,Bayern München,Croatia,79,85,15920000,28000,CDM,76,60,81,82,53,75,Right,100026,CDM,Midfielder,21-25,6,15.92,4.96,Regular Target
D. Kovacić,23,Bayer 04 Leverkusen,Spain,69,76,10710000,22000,RM,83,67,71,87,78,75,Right,100027,RM,Midfielder,21-25,7,10.71,6.44,Regular Target
N. Dubois,24,Bayern München,Croatia,69,72,9310000,18000,RB,63,48,70,69,75,81,Right,100028,RB,Defender,21-25,3,9.31,7.41,Regular Target
E. De Jong,18,Atlético de Madrid,Portugal,70,83,13280000,23000,RW,84,85,81,92,52,82,Right,100029,RW,Attacker,U21,13,13.28,5.27,Hidden Gem
A. Dubois,21,Paris Saint-Germain,Nigeria,76,82,14030000,26000,GK,55,79,61,68,58,65,Left,100030,GK,Goalkeeper,U21,6,14.03,5.42,Regular Target
