short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id
E. Haaland,23,Manchester City,Norway,91,94,185000000,340000,ST,89,93,66,80,45,88,Left,100001
K. Mbappé,25,Real Madrid,France,91,94,180000000,350000,"ST, LW",97,90,80,92,36,78,Right,100002
J. Bellingham,20,Real Madrid,England,86,91,120000000,210000,"CAM, CM",79,82,82,85,78,82,Right,100003
Vini Jr.,23,Real Madrid,Brazil,89,93,158000000,290000,LW,95,82,78,90,29,68,Right,100004
F. Wirtz,21,Bayer 04 Leverkusen,Germany,85,92,95000000,120000,"CAM, CM",81,79,85,88,52,62,Right,100005
J. Musiala,21,Bayern München,Germany,86,93,110000000,130000,"CAM, LM",85,76,79,91,64,64,Right,100006
L. Yamal,16,FC Barcelona,Spain,78,91,35000000,25000,RW,86,73,77,83,32,50,Left,100007
Pedri,21,FC Barcelona,Spain,86,92,105000000,160000,CM,78,68,84,88,68,65,Right,100008
C. Palmer,22,Aston Villa,England,83,89,65000000,90000,"RW, CAM",77,80,83,84,48,63,Left,100009
K. De Bruyne,32,Manchester City,Belgium,91,91,90000000,380000,"CM, CAM",72,88,94,87,65,78,Right,100010
V. van Dijk,32,Liverpool,Netherlands,89,89,45000000,220000,CB,78,60,71,72,89,86,Right,100011
T. Courtois,31,Real Madrid,Belgium,90,90,60000000,250000,GK,85,89,76,93,46,88,Left,100012
E. Camavinga,21,Real Madrid,France,82,89,60000000,110000,"CDM, LB",80,66,80,83,79,81,Left,100013
Gavi,19,FC Barcelona,Spain,83,90,70000000,75000,CM,76,66,79,84,74,78,Right,100014
Endrick,17,Real Madrid,Brazil,75,89,24000000,20000,ST,88,76,62,79,31,75,Left,100015
Evan Ferguson,19,Brighton & Hove Albion,Ireland,74,86,18000000,30000,ST,75,76,60,72,30,78,Right,100016
A. Güler,19,Real Madrid,Turkey,77,88,23000000,45000,"CAM, RW",74,73,81,82,42,52,Left,100017
J. Hato,18,Ajax,Netherlands,73,87,12000000,15000,"CB, LB",79,40,68,70,75,74,Left,100018
João Neves,19,Benfica,Portugal,77,87,22000000,25000,"CDM, CM",73,62,76,79,76,75,Right,100019
K. Mainoo,19,Manchester City,England,76,87,19000000,35000,"CM, CDM",74,65,76,81,72,70,Right,100020
S. Dubois,20,Borussia Dortmund,Brazil,74,87,15330000,30000,GK,75,73,77,70,45,85,Right,100021
M. Silva,22,FC Barcelona,Portugal,75,79,12740000,24000,GK,56,78,66,89,40,66,Right,100022
A. Smith,18,Borussia Dortmund,Nigeria,66,72,9080000,20000,GK,76,79,71,86,44,80,Right,100023
K. Conti,19,Liverpool,Brazil,75,83,14140000,26000,GK,57,61,75,68,41,82,Right,100024
N. Van Dijk,29,Bayern München,Uruguay,83,84,17020000,32000,CDM,70,83,88,67,69,72,Right,100025
H. Taylor,23,Bayern München,Croatia,79,85,15920000,28000,CDM,76,60,81,82,53,75,Right,100026
D. Kovacić,23,Bayer 04 Leverkusen,Spain,69,76,10710000,22000,RM,83,67,71,87,78,75,Right,100027
N. Dubois,24,Bayern München,Croatia,69,72,9310000,18000,RB,63,48,70,69,75,81,Right,100028
E. De Jong,18,Atlético de Madrid,Portugal,70,83,13280000,23000,RW,84,85,81,92,52,82,Right,100029
A. Dubois,21,Paris Saint-Germain,Nigeria,76,82,14030000,26000,GK,55,79,61,68,58,65,Left,100030
G. Conti,18,Manchester City,Netherlands,69,77,11060000,19000,RM,64,60,68,70,59,64,Right,100031
S. García,23,Bayer 04 Leverkusen,Italy,79,87,16620000,29000,LM,69,69,69,66,65,80,Right,100032
H. Müller,19,Liverpool,Brazil,69,79,11760000,23000,LW,77,86,60,68,27,59,Right,100033
K. Kovacić,32,Aston Villa,Uruguay,70,70,5670000,13000,RM,66,83,90,79,56,66,Right,100034
N. García,23,Manchester City,Germany,77,80,13580000,25000,RWB,78,66,61,71,87,71,Right,100035
R. García,28,Aston Villa,Croatia,76,76,11930000,22000,LWB,70,63,58,67,74,86,Left,100036
L. Fernández,18,Free Agent,Belgium,63,78,11100000,21000,RM,86,78,73,77,61,77,Right,100037
K. Schneider,27,Ajax,France,80,83,15540000,29000,GK,82,79,61,89,35,65,Right,100038
L. Rossi,18,Sporting CP,Portugal,75,89,16240000,31000,RWB,72,37,61,60,75,76,Right,100039
A. Brown,21,Real Madrid,Italy,68,72,9220000,21000,CM,73,81,82,87,81,81,Left,100040
D. Rossi,23,Borussia Dortmund,England,68,75,10270000,23000,GK,66,56,57,76,39,81,Right,100041
N. García,35,Free Agent,Brazil,84,84,11340000,24000,GK,56,82,76,82,39,65,Right,100042
S. Brown,22,Brighton & Hove Albion,Portugal,81,84,16240000,33000,CF,81,90,63,90,28,77,Right,100043
D. Jones,24,Sporting CP,Nigeria,78,80,13860000,25000,LM,67,81,72,85,51,63,Right,100044
